grade_distributions.A-,code,grade_distributions.NC,grade_distributions.A+,grade_distributions.B,grade_distributions.C+,grade_distributions.D-,grade_distributions.A,grade_distributions.F,grade_distributions.D,grade_distributions.C-,grade_distributions.CR,grade_distributions.B+,grade_distributions.C,grade_distributions.D+,grade_distributions.B-
,CEE 248G,,,,,,,,,,,,,,
0,CEE 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CEE 251,0,1,7,0,0,10,0,0,0,0,3,0,0,1
0,CEE 252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 252P,0,0,0,0,0,0,0,0,0,7,0,0,0,0
,CEE 252Q,,,,,,,,,,,,,,
,CEE 253A,,,,,,,,,,,,,,
,CEE 254,,,,,,,,,,,,,,
1,CEE 256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 258,1,1,0,0,0,1,0,0,0,25,0,0,0,0
0,CEE 258B,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,CEE 259A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 259B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CEE 260A,0,0,1,0,0,7,0,0,0,0,1,0,0,2
0,CEE 260B,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,CEE 260C,0,0,1,0,0,4,0,0,0,0,1,0,0,0
0,CEE 262A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 262B,0,0,1,0,0,5,0,0,0,1,2,0,0,0
2,CEE 262C,0,2,1,0,0,7,0,0,0,0,0,0,0,0
4,CEE 262D,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,CEE 262E,,,,,,,,,,,,,,
0,CEE 262F,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,CEE 263A,,,,,,,,,,,,,,
0,CEE 263B,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,CEE 263C,0,0,1,0,0,9,1,0,0,1,2,0,0,0
2,CEE 263D,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CEE 263S,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,CEE 264,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,CEE 264A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CEE 265A,0,0,2,0,0,3,0,0,0,0,0,0,0,0
1,CEE 265C,0,2,0,0,0,1,0,0,0,0,0,0,0,0
0,CEE 265D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 266A,0,0,1,0,0,4,0,0,0,1,1,0,0,0
1,CEE 266B,0,0,2,0,0,5,0,0,0,1,0,0,0,0
0,CEE 266C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 266D,0,0,0,0,0,0,0,0,0,9,0,0,0,0
,CEE 268,,,,,,,,,,,,,,
,CEE 269A,,,,,,,,,,,,,,
,CEE 269B,,,,,,,,,,,,,,
,CEE 269C,,,,,,,,,,,,,,
0,CEE 270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 270B,,,,,,,,,,,,,,
4,CEE 271A,0,2,6,0,0,6,0,0,0,0,4,0,0,0
1,CEE 271B,0,4,3,0,0,2,0,0,0,1,1,2,0,1
,CEE 271E,,,,,,,,,,,,,,
,CEE 271F,,,,,,,,,,,,,,
0,CEE 271M,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,CEE 272,0,1,0,0,0,9,0,0,0,1,1,0,0,0
3,CEE 272R,0,1,2,0,0,3,0,0,0,1,4,0,0,0
,CEE 272S,,,,,,,,,,,,,,
,CEE 272T,,,,,,,,,,,,,,
2,CEE 272W,0,1,0,0,0,2,0,0,0,0,0,0,0,0
0,CEE 273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 273A,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,CEE 273C,,,,,,,,,,,,,,
,CEE 273C,,,,,,,,,,,,,,
,CEE 273D,,,,,,,,,,,,,,
,CEE 273S,,,,,,,,,,,,,,
6,CEE 274A,0,0,6,0,0,6,0,0,0,3,8,0,0,2
1,CEE 274B,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,CEE 274D,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 274E,,,,,,,,,,,,,,
0,CEE 274P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 274S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,CEE 275A,,,,,,,,,,,,,,
,CEE 275B,,,,,,,,,,,,,,
,CEE 275C,,,,,,,,,,,,,,
,CEE 275K,,,,,,,,,,,,,,
,CEE 275S,,,,,,,,,,,,,,
2,CEE 276,0,0,0,0,0,5,0,0,0,1,0,0,0,0
,CEE 276C,,,,,,,,,,,,,,
,CEE 276E,,,,,,,,,,,,,,
0,CEE 276F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 276S,,,,,,,,,,,,,,
,CEE 277C,,,,,,,,,,,,,,
,CEE 277D,,,,,,,,,,,,,,
0,CEE 277F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 277K,,,,,,,,,,,,,,
,CEE 277L,,,,,,,,,,,,,,
0,CEE 277S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CEE 277X,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,CEE 278A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 278B,,,,,,,,,,,,,,
,CEE 278C,,,,,,,,,,,,,,
0,CEE 279,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,CEE 279S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 279W,,,,,,,,,,,,,,
5,CEE 280,1,5,0,0,0,8,1,0,0,0,8,0,0,0
0,CEE 281,0,1,1,0,0,2,0,0,0,0,1,0,0,0
4,CEE 282,0,2,0,0,0,6,0,0,0,0,1,0,0,0
0,CEE 283,0,0,5,0,0,12,0,0,0,0,1,0,0,0
0,CEE 284,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,CEE 285A,0,0,1,0,0,1,0,0,0,0,2,0,0,2
4,CEE 285B,0,0,2,0,0,1,0,0,0,0,1,0,0,0
0,CEE 287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CEE 288,0,0,0,0,0,4,0,0,0,0,1,0,0,0
,CEE 289,,,,,,,,,,,,,,
2,CEE 290,0,0,1,0,0,3,0,0,0,0,2,0,0,0
0,CEE 291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 292,,,,,,,,,,,,,,
4,CEE 293,0,0,3,1,0,4,0,0,0,0,2,0,0,1
,CEE 294,,,,,,,,,,,,,,
0,CEE 295,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,CEE 296,,,,,,,,,,,,,,
,CEE 297,,,,,,,,,,,,,,
0,CEE 297M,1,0,0,0,0,5,0,0,0,1,1,0,0,0
,CEE 297Q,,,,,,,,,,,,,,
0,CEE 297R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 298,0,0,0,0,0,3,0,0,0,8,0,0,0,0
0,CEE 299,1,1,0,1,0,0,0,0,0,5,0,0,0,0
,CEE 299L,,,,,,,,,,,,,,
1,CEE 299S,1,0,0,0,0,4,0,0,0,0,0,0,0,0
0,CEE 300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 301,1,0,0,0,0,1,1,0,0,44,1,0,0,0
0,CEE 305,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,CEE 306,,,,,,,,,,,,,,
0,CEE 316,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,CEE 320,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,CEE 321,,,,,,,,,,,,,,
,CEE 322,,,,,,,,,,,,,,
,CEE 323A,,,,,,,,,,,,,,
,CEE 323B,,,,,,,,,,,,,,
,CEE 323C,,,,,,,,,,,,,,
,CEE 328A,,,,,,,,,,,,,,
,CEE 342,,,,,,,,,,,,,,
,CEE 345,,,,,,,,,,,,,,
0,CEE 361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 362,,,,,,,,,,,,,,
,CEE 362G,,,,,,,,,,,,,,
,CEE 362H,,,,,,,,,,,,,,
,CEE 363A,,,,,,,,,,,,,,
,CEE 363C,,,,,,,,,,,,,,
,CEE 363F,,,,,,,,,,,,,,
0,CEE 363G,0,0,0,0,0,2,0,0,0,1,0,0,0,0
,CEE 364F,,,,,,,,,,,,,,
,CEE 364Y,,,,,,,,,,,,,,
0,CEE 365A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 365B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 365C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 365D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 370A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 370B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 370C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 370D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 371M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374T,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374V,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 374X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 375,,,,,,,,,,,,,,
0,CEE 377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CEE 378,,,,,,,,,,,,,,
,CEE 378D,,,,,,,,,,,,,,
0,CEE 381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 385,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,CEE 386,,,,,,,,,,,,,,
0,CEE 398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 399,0,0,0,0,0,0,0,0,0,12,0,0,0,0
0,CEE 400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CEE 802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEM 1,,,,,,,,,,,,,,
,CHEM 1L,,,,,,,,,,,,,,
,CHEM 2,,,,,,,,,,,,,,
,CHEM 2L,,,,,,,,,,,,,,
,CHEM 3,,,,,,,,,,,,,,
,CHEM 3L,,,,,,,,,,,,,,
,CHEM 10,,,,,,,,,,,,,,
0,CHEM 24N,0,0,2,0,0,39,0,0,0,1,0,0,0,1
0,CHEM 25N,0,0,1,0,0,49,1,0,0,0,0,0,0,0
5,CHEM 25Q,0,0,1,0,0,5,0,0,0,1,1,0,0,0
4,CHEM 26N,0,1,1,0,0,23,0,0,0,0,0,0,0,0
2,CHEM 27N,0,0,0,0,0,15,1,0,0,0,1,0,0,0
0,CHEM 28N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,CHEM 31A,13,50,372,142,2,212,10,9,32,93,414,77,8,247
0,CHEM 31AC,1,0,0,0,0,1,0,0,0,26,1,0,0,0
342,CHEM 31B,6,49,285,92,0,209,7,2,28,66,358,46,5,176
0,CHEM 31BC,0,2,0,0,0,2,0,0,0,29,1,0,0,0
109,CHEM 31X,19,71,273,59,1,353,11,14,22,56,194,92,1,70
366,CHEM 33,32,70,472,138,2,480,19,25,62,91,345,129,5,266
0,CHEM 33C,1,1,0,0,0,3,0,0,0,29,0,0,0,0
141,CHEM 35,22,20,383,60,1,400,15,25,33,67,154,172,0,103
244,CHEM 36,4,27,238,30,0,272,7,0,1,42,212,29,0,92
0,CHEM 110,0,3,0,0,0,4,0,0,0,0,0,0,0,0
0,CHEM 111,1,0,0,0,0,2,0,0,0,62,0,0,0,0
0,CHEM 130,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,CHEM 131,12,32,314,15,3,294,10,24,17,35,85,126,2,85
1,CHEM 132,0,4,2,0,0,19,0,0,0,0,3,3,0,1
0,CHEM 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,CHEM 135,6,34,131,15,0,201,7,3,4,57,98,16,0,28
4,CHEM 137,1,3,0,0,0,40,0,0,0,0,2,0,0,0
11,CHEM 151,0,2,12,3,0,18,1,0,1,1,20,2,0,5
2,CHEM 153,0,5,1,0,0,8,0,0,0,0,0,0,0,0
0,CHEM 155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CHEM 171,1,30,31,4,0,90,1,0,2,13,28,7,0,11
20,CHEM 173,0,15,28,13,0,41,1,2,4,2,22,9,0,11
0,CHEM 174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CHEM 175,1,6,22,5,0,38,1,1,1,2,11,10,0,2
0,CHEM 176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHEM 181,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,CHEM 183,1,2,10,0,0,17,0,0,0,0,7,5,0,2
3,CHEM 184,0,1,1,0,0,20,0,0,0,1,7,0,0,0
4,CHEM 185,0,5,3,0,0,6,0,0,0,0,2,0,0,1
0,CHEM 187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CHEM 190,1,7,0,0,0,88,0,0,0,7,1,0,0,0
,CHEM 196,,,,,,,,,,,,,,
1,CHEM 200,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4,CHEM 221,0,0,1,0,0,2,0,0,0,1,0,0,0,2
1,CHEM 223,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 227,0,0,1,0,0,1,0,0,1,2,0,0,0,0
0,CHEM 229,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHEM 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 233A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 233B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 233C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 251,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,CHEM 253,,,,,,,,,,,,,,
0,CHEM 255,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHEM 258A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 258B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 258C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHEM 271,0,0,0,0,0,5,0,0,0,0,1,0,0,0
0,CHEM 273,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,CHEM 274,,,,,,,,,,,,,,
0,CHEM 275,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,CHEM 277,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHEM 278A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 278B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEM 280,,,,,,,,,,,,,,
,CHEM 287,,,,,,,,,,,,,,
,CHEM 291,,,,,,,,,,,,,,
,CHEM 296,,,,,,,,,,,,,,
,CHEM 297,,,,,,,,,,,,,,
0,CHEM 299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 300,0,0,0,0,0,2,0,0,0,17,0,0,0,0
0,CHEM 301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEM 390,,,,,,,,,,,,,,
0,CHEM 459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEM 802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 10,0,0,0,0,0,5,1,0,0,62,0,0,0,0
,CHEMENG 12SC,,,,,,,,,,,,,,
10,CHEMENG 20,0,5,12,2,0,14,1,0,1,2,10,1,0,3
9,CHEMENG 25B,0,1,1,0,0,8,0,0,0,0,1,0,0,0
3,CHEMENG 25E,0,1,4,1,0,7,0,2,1,0,2,1,0,0
4,CHEMENG 35N,0,4,0,0,0,43,0,0,0,1,0,0,0,0
12,CHEMENG 60Q,0,10,0,0,0,46,1,0,0,0,0,0,0,0
4,CHEMENG 70Q,0,2,0,0,0,75,1,0,0,0,1,0,0,0
10,CHEMENG 80Q,0,5,5,1,0,15,0,0,0,1,5,0,0,0
14,CHEMENG 100,0,8,15,6,0,33,0,0,1,1,20,1,1,10
19,CHEMENG 110,0,13,8,0,0,34,0,0,0,3,9,0,0,3
11,CHEMENG 120A,0,13,21,4,0,34,0,1,0,2,7,3,0,8
15,CHEMENG 120B,0,6,10,0,0,31,0,0,0,3,16,0,1,5
18,CHEMENG 130,0,4,9,1,0,19,0,1,0,3,18,0,1,4
0,CHEMENG 140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEMENG 142,,,,,,,,,,,,,,
9,CHEMENG 150,0,3,10,2,0,13,1,1,1,1,8,0,0,9
,CHEMENG 160,,,,,,,,,,,,,,
,CHEMENG 162,,,,,,,,,,,,,,
11,CHEMENG 170,0,4,12,2,0,21,0,1,0,2,8,2,0,6
2,CHEMENG 174,0,0,3,0,0,1,0,0,0,0,1,1,0,1
5,CHEMENG 180,0,2,2,0,0,25,0,0,0,0,1,0,0,0
8,CHEMENG 181,0,0,13,2,0,10,0,0,0,3,5,2,0,15
0,CHEMENG 183,0,0,3,0,0,1,0,0,0,4,2,0,0,1
0,CHEMENG 185A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CHEMENG 185B,0,1,3,1,0,28,0,0,0,1,0,0,0,0
0,CHEMENG 190,0,7,0,0,0,65,0,0,0,5,0,0,0,0
0,CHEMENG 190H,0,6,0,0,0,33,0,0,0,0,0,0,0,0
0,CHEMENG 191H,0,2,0,0,0,34,0,0,0,0,0,0,0,0
,CHEMENG 196,,,,,,,,,,,,,,
1,CHEMENG 240,0,3,0,0,0,1,0,0,0,0,0,0,0,0
,CHEMENG 242,,,,,,,,,,,,,,
,CHEMENG 260,,,,,,,,,,,,,,
,CHEMENG 262,,,,,,,,,,,,,,
0,CHEMENG 274,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,CHEMENG 281,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,CHEMENG 283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEMENG 296,,,,,,,,,,,,,,
0,CHEMENG 300,0,0,3,0,0,1,0,0,0,0,2,0,0,0
3,CHEMENG 310,0,0,4,0,0,4,0,0,0,1,0,0,0,0
2,CHEMENG 320,0,0,1,0,0,0,0,0,0,0,0,0,0,2
3,CHEMENG 340,0,1,0,0,0,5,0,0,0,0,5,0,0,1
0,CHEMENG 345,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,CHEMENG 355,0,0,2,0,0,2,0,0,0,0,2,0,0,1
,CHEMENG 399,,,,,,,,,,,,,,
,CHEMENG 410,,,,,,,,,,,,,,
,CHEMENG 420,,,,,,,,,,,,,,
,CHEMENG 432,,,,,,,,,,,,,,
,CHEMENG 442,,,,,,,,,,,,,,
0,CHEMENG 444,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,CHEMENG 450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEMENG 454,,,,,,,,,,,,,,
0,CHEMENG 456,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,CHEMENG 459,1,0,0,0,0,0,0,0,0,11,0,0,0,0
0,CHEMENG 462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHEMENG 469,,,,,,,,,,,,,,
,CHEMENG 470,,,,,,,,,,,,,,
0,CHEMENG 482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 501,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,CHEMENG 503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 600,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,CHEMENG 699,0,0,0,0,0,1,1,0,0,13,0,1,0,0
0,CHEMENG 801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHEMENG 802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHILATST 13SL,,,,,,,,,,,,,,
,CHILATST 14N,,,,,,,,,,,,,,
,CHILATST 53J,,,,,,,,,,,,,,
,CHILATST 120,,,,,,,,,,,,,,
,CHILATST 125S,,,,,,,,,,,,,,
,CHILATST 140,,,,,,,,,,,,,,
,CHILATST 160N,,,,,,,,,,,,,,
,CHILATST 164,,,,,,,,,,,,,,
,CHILATST 168,,,,,,,,,,,,,,
,CHILATST 171
,CHILATST 172
,CHILATST 177A
,CHILATST 177B
,CHILATST 177C
,CHILATST 179
,CHILATST 179F
,CHILATST 180E
,CHILATST 183X
,CHILATST 189W
,CHILATST 198
,CHILATST 200
,CHILATST 200R
,CHILATST 200W
,CHILATST 201B
,CHILATST 201C
,CHILATST 275B,,,,,,,,,,,,,,
7,CHINGEN 70N,0,0,2,0,0,13,0,0,0,0,5,0,0,0
1,CHINGEN 73,0,0,0,0,0,6,0,0,0,0,1,0,0,0
0,CHINGEN 73N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CHINGEN 91,0,4,6,1,0,13,0,0,1,1,9,1,0,2
,CHINGEN 95,,,,,,,,,,,,,,
,CHINGEN 101,,,,,,,,,,,,,,
0,CHINGEN 118,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,CHINGEN 119,0,0,1,0,0,6,0,0,0,0,0,0,0,0
0,CHINGEN 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 121,,,,,,,,,,,,,,
5,CHINGEN 131,0,15,0,0,0,6,0,0,0,1,1,0,0,0
1,CHINGEN 132,0,2,0,0,0,11,0,0,0,2,2,0,0,0
7,CHINGEN 133,0,0,0,0,0,12,0,0,0,0,2,0,0,0
,CHINGEN 134,,,,,,,,,,,,,,
0,CHINGEN 135,0,1,0,0,0,2,0,0,0,0,0,0,0,0
,CHINGEN 136,,,,,,,,,,,,,,
7,CHINGEN 137,0,1,0,0,0,6,0,0,0,0,1,0,0,0
,CHINGEN 138,,,,,,,,,,,,,,
,CHINGEN 139,,,,,,,,,,,,,,
,CHINGEN 140,,,,,,,,,,,,,,
1,CHINGEN 141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 143,,,,,,,,,,,,,,
,CHINGEN 146,,,,,,,,,,,,,,
2,CHINGEN 150,0,0,1,0,0,1,0,0,0,0,1,0,0,0
,CHINGEN 151,,,,,,,,,,,,,,
,CHINGEN 152,,,,,,,,,,,,,,
,CHINGEN 155,,,,,,,,,,,,,,
,CHINGEN 160,,,,,,,,,,,,,,
,CHINGEN 169,,,,,,,,,,,,,,
0,CHINGEN 170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 173,,,,,,,,,,,,,,
0,CHINGEN 193E,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,CHINGEN 194,,,,,,,,,,,,,,
,CHINGEN 195,,,,,,,,,,,,,,
0,CHINGEN 198,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,CHINGEN 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 201,,,,,,,,,,,,,,
0,CHINGEN 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINGEN 219,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHINGEN 220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 221,,,,,,,,,,,,,,
,CHINGEN 231,,,,,,,,,,,,,,
,CHINGEN 232,,,,,,,,,,,,,,
0,CHINGEN 233,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,CHINGEN 234,,,,,,,,,,,,,,
,CHINGEN 235,,,,,,,,,,,,,,
,CHINGEN 236,,,,,,,,,,,,,,
1,CHINGEN 237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 238,,,,,,,,,,,,,,
,CHINGEN 239,,,,,,,,,,,,,,
,CHINGEN 240,,,,,,,,,,,,,,
0,CHINGEN 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CHINGEN 243,,,,,,,,,,,,,,
,CHINGEN 246,,,,,,,,,,,,,,
0,CHINGEN 250,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,CHINGEN 251,,,,,,,,,,,,,,
,CHINGEN 252,,,,,,,,,,,,,,
,CHINGEN 255,,,,,,,,,,,,,,
,CHINGEN 260,,,,,,,,,,,,,,
,CHINGEN 269,,,,,,,,,,,,,,
,CHINGEN 294,,,,,,,,,,,,,,
,CHINGEN 393E,,,,,,,,,,,,,,
0,CHINLANG 1,0,0,0,0,0,4,0,0,0,0,1,0,0,0
0,CHINLANG 1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CHINLANG 2,1,5,19,1,0,150,0,0,1,28,28,2,1,6
0,CHINLANG 2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHINLANG 3,0,0,1,0,0,3,0,0,0,1,2,0,0,0
0,CHINLANG 3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINLANG 5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,CHINLANG 6,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,CHINLANG 7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,CHINLANG 8,0,7,0,0,0,27,0,0,0,3,1,0,0,0
0,CHINLANG 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINLANG 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINLANG 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINLANG 13A,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHINLANG 13B,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,CHINLANG 13C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHINLANG 15,0,15,1,0,0,8,0,0,0,3,0,0,0,0
1,CHINLANG 15M,0,12,0,0,0,12,0,0,0,1,0,0,0,0
